                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.84949,                0.51357,                0.96509,                0.96247,                0.99071,                0.98015,                0.79917,                0.79863,                0.43735,                0.95799,               0.003565,               0.003565,               0.003565
                     68,                0.83001,                 0.4944,                0.93056,                0.96594,                0.98994,                 0.9824,                0.78456,                 0.8288,                0.43636,                0.97398,               0.003466,               0.003466,               0.003466
                     69,                0.83761,                0.50112,                0.95191,                0.96774,                 0.9918,                0.97758,                0.78676,                0.82523,                0.43643,                0.96754,               0.003367,               0.003367,               0.003367
                     70,                0.84347,                 0.5068,                0.92648,                0.96839,                0.99379,                0.98169,                0.79012,                0.79122,                0.42869,                0.95938,               0.003268,               0.003268,               0.003268
                     71,                0.84303,                0.51098,                0.95483,                0.97297,                0.99366,                0.98242,                0.79765,                0.81133,                   0.41,                0.95654,               0.003169,               0.003169,               0.003169
                     72,                0.82726,                0.49919,                0.93871,                0.96981,                0.99405,                0.97832,                0.80685,                0.74441,                0.39926,                0.94317,                0.00307,                0.00307,                0.00307
                     73,                0.81151,                0.48763,                0.93982,                0.97092,                0.99296,                0.97842,                0.80376,                0.76496,                0.39767,                0.94341,               0.002971,               0.002971,               0.002971
                     74,                0.81605,                 0.4873,                0.94182,                0.96424,                0.99312,                0.97807,                0.80775,                0.75046,                 0.4035,                0.94016,               0.002872,               0.002872,               0.002872
                     75,                0.81061,                0.47107,                0.92839,                0.97301,                0.99208,                0.98004,                0.80279,                0.76015,                 0.4168,                0.95103,               0.002773,               0.002773,               0.002773
                     76,                0.81468,                0.48584,                0.94882,                0.97324,                0.99244,                0.98066,                0.81162,                  0.751,                0.38586,                  0.938,               0.002674,               0.002674,               0.002674
                     77,                0.82222,                0.48118,                0.94407,                0.97219,                0.99314,                0.97855,                 0.8148,                 0.7431,                0.39301,                0.93678,               0.002575,               0.002575,               0.002575
                     78,                 0.8349,                0.48081,                 0.9472,                0.96737,                0.99405,                0.97766,                0.81439,                0.73641,                0.39532,                0.93731,               0.002476,               0.002476,               0.002476
                     79,                0.80489,                0.47984,                0.93691,                0.97025,                0.99405,                0.98323,                0.81078,                 0.7693,                  0.392,                0.94569,               0.002377,               0.002377,               0.002377
                     80,                0.81863,                0.46658,                0.94303,                0.97116,                0.99405,                0.97752,                0.81062,                0.74768,                 0.3881,                0.93176,               0.002278,               0.002278,               0.002278
                     81,                0.79963,                0.46422,                0.93032,                0.97124,                0.99387,                0.97605,                0.80568,                0.75359,                0.38058,                0.93505,               0.002179,               0.002179,               0.002179
                     82,                0.79395,                0.45151,                0.91803,                0.97362,                0.99193,                0.97844,                0.80048,                0.77636,                0.37817,                0.95032,                0.00208,                0.00208,                0.00208
                     83,                0.77096,                0.44736,                 0.9192,                0.97434,                0.99057,                0.98009,                 0.8094,                0.75584,                0.37944,                0.93783,               0.001981,               0.001981,               0.001981
                     84,                0.80353,                0.46707,                0.93356,                0.97387,                0.99497,                0.98177,                0.81737,                0.74602,                 0.3668,                 0.9314,               0.001882,               0.001882,               0.001882
                     85,                0.79072,                 0.4531,                0.94138,                0.96906,                0.99397,                0.98161,                0.80092,                0.79033,                0.37466,                0.95593,               0.001783,               0.001783,               0.001783
                     86,                 0.7753,                0.43471,                0.92649,                 0.9725,                0.99405,                  0.982,                0.81406,                0.74518,                 0.3624,                0.92828,               0.001684,               0.001684,               0.001684
                     87,                0.82282,                0.45644,                0.92903,                0.97323,                0.99405,                0.98108,                0.81324,                 0.7579,                0.36891,                0.93625,               0.001585,               0.001585,               0.001585
                     88,                0.84513,                0.46578,                0.95042,                 0.9718,                0.99405,                0.97768,                0.79705,                 0.7708,                0.38027,                0.95031,               0.001486,               0.001486,               0.001486
                     89,                0.79972,                 0.4458,                0.94835,                0.97195,                0.99388,                 0.9776,                0.80433,                0.75161,                0.36693,                 0.9315,               0.001387,               0.001387,               0.001387
                     90,                0.83424,                 0.4522,                0.94032,                0.97187,                 0.9911,                0.97757,                0.81037,                 0.7347,                 0.3719,                0.92842,               0.001288,               0.001288,               0.001288
                     91,                0.75842,                0.41486,                0.95485,                0.97512,                0.98973,                0.97697,                0.80609,                0.73642,                0.36229,                0.93107,               0.001189,               0.001189,               0.001189
                     92,                0.76335,                0.40291,                0.95386,                0.97396,                0.99309,                0.97648,                 0.8115,                0.72124,                0.35776,                 0.9259,                0.00109,                0.00109,                0.00109
                     93,                0.72882,                0.38441,                0.94375,                0.97323,                0.98948,                0.97869,                0.82278,                0.71592,                0.35162,                0.92165,               0.000991,               0.000991,               0.000991
                     94,                0.72519,                0.37819,                 0.9245,                0.97202,                0.99379,                0.97825,                0.82196,                0.71932,                0.36037,                0.92406,               0.000892,               0.000892,               0.000892
                     95,                0.72683,                0.38555,                 0.9257,                0.97005,                0.99228,                0.97669,                0.81502,                0.72912,                0.35638,                0.93136,               0.000793,               0.000793,               0.000793
                     96,                0.73592,                0.38577,                0.94154,                0.97284,                0.99395,                0.97659,                 0.8116,                0.72684,                0.35848,                0.92569,               0.000694,               0.000694,               0.000694
                     97,                 0.7313,                0.38233,                0.94152,                0.97206,                0.99403,                0.97803,                0.81023,                0.74305,                0.35499,                 0.9277,               0.000595,               0.000595,               0.000595
                     98,                0.73304,                0.38288,                0.94858,                0.97139,                0.99405,                0.97758,                0.81838,                0.72219,                0.34874,                0.92288,               0.000496,               0.000496,               0.000496
                     99,                0.72026,                0.38061,                0.94056,                0.97163,                 0.9933,                0.97792,                0.82369,                0.71767,                0.34753,                 0.9219,               0.000397,               0.000397,               0.000397
                    100,                 0.7189,                0.36943,                0.92696,                0.97167,                0.99306,                0.97778,                0.82143,                0.70988,                0.34582,                0.92056,               0.000298,               0.000298,               0.000298
